streetLine,price,hoa,sqFt,pricePerSqFt,lotSize,beds,baths,city,state,zip,postalCode,countryCode,yearBuilt,propertyType,latitude,longitude
1750 Shirley St SW,425000,,1071,397,7501,3,3.0,Atlanta,GA,30310,30310,US,1955,SingleFamilyResidence,33.7368346,-84.4501707
27303 Plantation Dr NE,349900,753,1462,239,1463,2,2.0,Atlanta,GA,30324,30324,US,1985,SingleFamilyResidence,33.8352665,-84.3562199
785 Mckenzie Ct SW,385000,,2163,178,24524,4,2.0,Atlanta,GA,30311,30311,US,1970,SingleFamilyResidence,33.7345851,-84.4797886
44 Peachtree Pl NE #1731,469000,496,1091,430,1089,2,2.0,Atlanta,GA,30309,30309,US,2006,SingleFamilyResidence,33.7808471,-84.385444
2996 Jonesboro Rd SE Unit E,220000,,1744,126,971,3,2.5,Atlanta,GA,30354,30354,US,2010,SingleFamilyResidence,33.6727017,-84.3716009
21 Ivy Gates NE,420000,466,1588,264,1589,2,2.5,Atlanta,GA,30342,30342,US,1972,SingleFamilyResidence,33.8584316,-84.379622
360 Winding River Dr Unit J,325000,440,1564,208,1563,3,2.5,Atlanta,GA,30350,30350,US,1970,SingleFamilyResidence,34.0001397,-84.3469977
2876 Cravenridge Dr NE,675000,,1608,420,17424,3,2.0,Atlanta,GA,30319,30319,US,1955,SingleFamilyResidence,33.8719313,-84.3211487
1080 Peachtree St NE #2109,625000,821,1398,447,1398,2,2.0,Atlanta,GA,30309,30309,US,2008,SingleFamilyResidence,33.7839725,-84.384184
6241 Susan Ln,529000,,2270,233,7840,4,3.5,Atlanta,GA,30340,30340,US,2024,SingleFamilyResidence,33.923878,-84.239914
5738 Antelope Trl,222000,,,,,3,2.0,College Park,GA,30349,30349,US,1993,SingleFamilyResidence,33.5985891,-84.4378228
3985 Hancock Cir,255000,250,1160,220,435,2,2.5,Atlanta,GA,30340,30340,US,1986,SingleFamilyResidence,33.8943369,-84.2264791
2072 Baker Rd NW,264900,,951,279,9931,2,1.0,Atlanta,GA,30318,30318,US,1950,SingleFamilyResidence,33.7700045,-84.4555118
1934 Brannen Rd SE,509900,,1600,319,13068,3,2.5,Atlanta,GA,30316,30316,US,1951,SingleFamilyResidence,33.717187,-84.3251143
2870 Pharr Court South NW #510,338000,754,1260,268,1258,2,2.0,Atlanta,GA,30305,30305,US,1988,SingleFamilyResidence,33.8338395,-84.3856789
1052 Donnelly Ave SW,525000,,2087,252,8598,4,2.5,Atlanta,GA,30310,30310,US,1940,SingleFamilyResidence,33.7300311,-84.4224161
